evaluation_scope,group_variable,group_value,n,observed_min,observed_max,observed_mean,calibrated_predicted_mean,calibrated_rmse,calibrated_mae,calibrated_bias,calibrated_r2,n_dates,n_train,n_validation,n_test
combined_train_validation_test_fitted_performance,sif_bin,"[-0.5,-0.25)",0,,,,,,,,,0,0,0,0
combined_train_validation_test_fitted_performance,sif_bin,"[-0.25,0)",66,-0.0937447845935822,-5.08427619934082E-05,-0.02461872001489,0.085102648897889,0.12640687595021,0.109721368912779,0.109721368912779,-32.6160382589591,20,64,2,0
combined_train_validation_test_fitted_performance,sif_bin,"[0,0.25)",2920,0.000173956155776978,0.24993784725666,0.137273900037351,0.155952311371048,0.0645268814545661,0.0466243478209555,0.0186784113336973,-0.0278494495503032,174,2269,377,274
combined_train_validation_test_fitted_performance,sif_bin,"[0.25,0.5)",3846,0.250050991773605,0.499936163425446,0.372086883249905,0.363118832168687,0.066160179119909,0.0520396692924767,-0.00896805108121782,0.0913648373050168,169,2860,441,545
combined_train_validation_test_fitted_performance,sif_bin,"[0.5,0.75)",1076,0.500075042247772,0.749457478523254,0.571241043480356,0.47176946350287,0.118745132756342,0.100816513448096,-0.0994715799774857,-3.38012182897489,99,856,108,112
combined_train_validation_test_fitted_performance,sif_bin,"[0.75,1)",12,0.7517129778862,0.878348588943481,0.787344952424367,0.514900381469534,0.275592315900195,0.272444570954833,-0.272444570954833,-56.0944266566283,8,11,1,0
combined_train_validation_test_fitted_performance,sif_bin,"[1,1.25]",0,,,,,,,,,0,0,0,0
