comparison_key,comparison,bootstrap_repetitions,observed_rmse_improvement_t_ha,mean_bootstrap_rmse_improvement_t_ha,rmse_improvement_ci_lower,rmse_improvement_ci_upper,mean_rmse_reduction_pct,rmse_reduction_pct_ci_lower,rmse_reduction_pct_ci_upper,probability_crop_pure_lower_rmse
raw_ww05_minus_crop_pure,Raw >=5% wheat minus crop-pure,10000,0.08790292168725777,0.08418873295101956,-0.06623794244502514,0.21270069592328,7.702064045354753,-7.916463293621403,18.359498824776058,0.8793
raw_all_minus_crop_pure,Raw all-footprint minus crop-pure,10000,0.1467986663008134,0.14271671076583456,-0.05224761791756459,0.3470985243807828,12.40994993304685,-6.134614549676132,27.082303677274663,0.9182
