repetition,crop_pure_monthly_rmse,raw_ww05_monthly_rmse,raw_all_monthly_rmse,raw_ww05_minus_crop_pure_rmse_improvement,raw_ww05_minus_crop_pure_rmse_reduction_pct,raw_all_minus_crop_pure_rmse_improvement,raw_all_minus_crop_pure_rmse_reduction_pct
1,1.2105043619015818,1.3276426391797977,1.3908314445779795,0.11713827727821591,8.8230276598063,0.18032708267639763,12.965416002017005
2,1.0502480079788055,1.1526234882886557,1.134379629449651,0.10237548030985022,8.881953330818463,0.08413162147084563,7.416531405069609
3,0.9800250478113801,1.055662776896207,1.0767003331573113,0.07563772908482691,7.164951795232581,0.09667528534593117,8.9788479086322
4,0.9507778230692743,1.103703820180259,1.2137591541602153,0.15292599711098465,13.855709685412569,0.262981331090941,21.666681580901816
5,1.1690485845546303,1.3193630579218778,1.385622656640202,0.15031447336724746,11.39295756878376,0.21657407208557156,15.630090273690461
6,0.9860026786461711,0.9858322909039909,0.9954278437813934,-0.00017038774218014474,-0.017283643856289405,0.009425165135222291,0.9468456397018525
7,0.9546370072722524,1.04916677757587,0.9713721266278679,0.09452977030361753,9.009985097129293,0.016735119355615447,1.7228329799529714
8,0.917479018798386,0.9340315199546996,0.8943239655975918,0.01655250115631357,1.7721565924366627,-0.02315505320079425,-2.5891124571756197
9,0.9475213607920397,0.9353380640450463,1.0331112319038653,-0.012183296746993477,-1.3025554305257832,0.08558987111182559,8.284671434081362
10,0.851701357346331,0.8421460370538647,0.8601997951292036,-0.009555320292466307,-1.1346393466261881,0.008498437782872625,0.987960916870033
11,0.9719893652685282,0.9954132299835633,0.9485704421132259,0.023423864715035103,2.3531799668185935,-0.02341892315530225,-2.4688649483036342
12,0.8916559385587999,1.032807797429795,0.9927194130556908,0.14115185887099502,13.666808018128835,0.1010634744968909,10.18046722646506
13,0.9383690489438419,0.985577093424546,1.024671032058024,0.04720804448070415,4.789888563326103,0.08630198311418202,8.422408794054306
14,0.948331084582874,1.0285819634181341,1.1273724043442042,0.08025087883526016,7.802088865001511,0.1790413197613302,15.881293445840468
15,1.029103959226651,1.087138729108829,1.0912375713354567,0.05803476988217793,5.338303965102167,0.062133612108805636,5.693866646542101
16,0.8948951626882162,0.9538794815310534,0.9804849503512505,0.05898431884283717,6.1836238209215475,0.08558978766303427,8.729332115946546
17,0.9612470928940371,1.051345223905644,0.9444509080762591,0.09009813101160691,8.569795055224699,-0.016796184817778004,-1.7784073977958212
18,0.9169682222698898,0.8900154886894368,0.8992308978335081,-0.026952733580453025,-3.028344329169079,-0.017737324436381763,-1.972499441368819
19,1.0998506969087443,1.2789802276219129,1.3931832384217608,0.17912953071316862,14.005652850961994,0.2933325415130166,21.054842853644463
20,1.0442004975466113,1.2083784014708687,1.269961830123409,0.16417790392425746,13.586630125498434,0.22576133257679776,17.77701716868603
21,0.9124529376449002,0.9861741448742528,1.0517535772439404,0.0737212072293526,7.475475565094318,0.13930063959904015,13.244608110967347
22,0.9392860122200831,1.12792042343808,1.1916530107746142,0.18863441121799684,16.72408862346949,0.25236699855453104,21.17789291620084
23,0.9954801464877165,1.1126030043084523,1.2418326426624782,0.11712285782073573,10.526922663986012,0.24635249617476163,19.837817730945133
24,0.8541647293802358,0.9663597461646601,1.0541280328539826,0.11219501678442434,11.610067289092894,0.1999633034737468,18.969546131162005
25,0.8749534529908338,0.9428974755898714,1.1270256170469077,0.06794402259903753,7.20587596827875,0.2520721640560739,22.366143257379257
26,1.0186496895297,1.174799590458751,1.1374202045507,0.156149900929051,13.291620306751689,0.11877051502100011,10.442096469344541
27,1.0039702210727335,1.1226407630562751,1.031378905366576,0.11867054198354166,10.570660347346838,0.027408684293842578,2.6574796276350923
28,0.8190625513001397,0.9411178585748415,1.0159136114784133,0.12205530727470182,12.969184057301096,0.19685106017827358,19.376751916120615
29,0.9660316904472563,1.0273018408752055,1.0284212096249181,0.061270150427949144,5.964181897673842,0.06238951917766178,6.066533692008963
30,0.881157117541773,0.9192372311731458,0.8579428134862669,0.03808011363137287,4.14257738263869,-0.023214304055506063,-2.705810188114322
31,1.0005132094619884,1.1570517847579174,1.1222155299422887,0.15653857529592896,13.529089826232845,0.12170232048030027,10.844825903145269
32,0.8967433354784752,0.9611599297279048,0.9186648881894918,0.06441659424942958,6.701964184843339,0.02192155271101659,2.3862404009169946
33,1.0167128594423724,1.1074819389813741,1.1956027485089462,0.0907690795390017,8.19598734246521,0.17888988906657377,14.962318319330564
34,0.7939177856113558,0.8888937056823374,1.146929608547267,0.09497592007098155,10.684733108563933,0.35301182293591127,30.77885689803107
35,0.7994668442455005,0.9048017356981762,0.9999484759602404,0.10533489145267572,11.64176496317126,0.20048163171473987,20.04919618705548
