evaluation_scope,group_variable,group_value,n,observed_min,observed_max,observed_mean,raw_predicted_mean,raw_rmse,raw_mae,raw_bias,raw_r2,calibrated_predicted_mean,calibrated_rmse,calibrated_mae,calibrated_bias,calibrated_r2,hzs_values,n_chips,n_dates,n_tiles,n_train,n_validation,n_test
combined_train_validation_test_fitted_performance,hzs_values,7a,151,-0.04962548613548279,0.7543524503707886,0.24766165995045214,0.23436465099552609,0.06943273296645441,0.0510871106425658,-0.013297008954926042,0.8714415716927256,0.23367929400844809,0.07033809899094472,0.0517759504813886,-0.013982365942004055,0.8680670457031967,7a,151,30,1,120,24,7
combined_train_validation_test_fitted_performance,hzs_values,7b,894,-0.034659743309020996,0.746238112449646,0.31904476711013974,0.3059543148016503,0.06841945519287687,0.05130511410617722,-0.01309045230848944,0.8206753445617454,0.3037877291666872,0.06899509809672418,0.051699439812015746,-0.01525703794345252,0.8176451768418409,7b,894,63,5,648,115,131
combined_train_validation_test_fitted_performance,hzs_values,8a,4458,-0.09374478459358215,0.8290858864784241,0.3065675829707266,0.30031675311910994,0.07675778731468214,0.05824129809213893,-0.006250829851616653,0.7834539970034557,0.29826681166746094,0.07716121135552545,0.05848310213626511,-0.008300771303265614,0.7811717676722023,8a,4458,201,9,3402,524,532
combined_train_validation_test_fitted_performance,hzs_values,8b,1502,-0.0891181230545044,0.8783485889434814,0.3154712400427671,0.30420583856605815,0.07987716353656309,0.060545185117048525,-0.011265401476708932,0.7578241523663365,0.30207542984480873,0.08029338548219739,0.06075854762934479,-0.013395810197958337,0.7552937289455328,8b,1502,169,8,1168,182,152
combined_train_validation_test_fitted_performance,hzs_values,9a,58,-0.004036128520965576,0.7881097197532654,0.411402091383934,0.38803953626032534,0.09270286835797407,0.06827706792231264,-0.02336255512360869,0.7840919668900802,0.38417456324472227,0.09459469762952256,0.0697013631928522,-0.027227528139211747,0.7751897836094632,9a,58,14,2,48,2,8
