hzs,n,observed_min,observed_max,observed_mean,calibrated_predicted_mean,calibrated_rmse,calibrated_mae,calibrated_bias,calibrated_r2,n_dates,n_tiles
7a,151,-0.0496254861354828,0.754352450370789,0.247661659950452,0.233679294008448,0.0703380989909447,0.0517759504813886,-0.0139823659420041,0.868067045703197,30,1
7b,894,-0.034659743309021,0.746238112449646,0.31904476711014,0.303787729166687,0.0689950980967242,0.0516994398120157,-0.0152570379434525,0.817645176841841,63,5
8a,4458,-0.0937447845935822,0.829085886478424,0.306567582970727,0.298266811667461,0.0771612113555255,0.0584831021362651,-0.00830077130326561,0.781171767672202,201,9
8b,1502,-0.0891181230545044,0.878348588943481,0.315471240042767,0.302075429844809,0.0802933854821974,0.0607585476293448,-0.0133958101979583,0.755293728945533,169,8
9a,58,-0.00403612852096558,0.788109719753265,0.411402091383934,0.384174563244722,0.0945946976295226,0.0697013631928522,-0.0272275281392117,0.775189783609463,14,2
