hzs,n,observed_min,observed_max,observed_mean,raw_predicted_mean,raw_rmse,raw_mae,raw_bias,raw_r2,calibrated_predicted_mean,calibrated_rmse,calibrated_mae,calibrated_bias,calibrated_r2,hzs_values,n_chips,n_dates,n_tiles,n_train,n_validation,n_test
7a,151,-0.0496254861354828,0.754352450370789,0.247661659950452,0.234364650995526,0.0694327329664544,0.0510871106425658,-0.013297008954926,0.871441571692726,0.233679294008448,0.0703380989909447,0.0517759504813886,-0.0139823659420041,0.868067045703197,7a,151,30,1,120,24,7
7b,894,-0.034659743309021,0.746238112449646,0.31904476711014,0.30595431480165,0.0684194551928769,0.0513051141061772,-0.0130904523084894,0.820675344561745,0.303787729166687,0.0689950980967242,0.0516994398120157,-0.0152570379434525,0.817645176841841,7b,894,63,5,648,115,131
8a,4458,-0.0937447845935822,0.829085886478424,0.306567582970727,0.30031675311911,0.0767577873146821,0.0582412980921389,-0.00625082985161665,0.783453997003456,0.298266811667461,0.0771612113555255,0.0584831021362651,-0.00830077130326561,0.781171767672202,8a,4458,201,9,3402,524,532
8b,1502,-0.0891181230545044,0.878348588943481,0.315471240042767,0.304205838566058,0.0798771635365631,0.0605451851170485,-0.0112654014767089,0.757824152366337,0.302075429844809,0.0802933854821974,0.0607585476293448,-0.0133958101979583,0.755293728945533,8b,1502,169,8,1168,182,152
9a,58,-0.00403612852096558,0.788109719753265,0.411402091383934,0.388039536260325,0.0927028683579741,0.0682770679223126,-0.0233625551236087,0.78409196689008,0.384174563244722,0.0945946976295226,0.0697013631928522,-0.0272275281392117,0.775189783609463,9a,58,14,2,48,2,8
