Daily_SIF_740nm,Delta_Time,Latitude,Longitude,Lat_corner1,Lat_corner2,Lat_corner3,Lat_corner4,Lon_corner1,Lon_corner2,Lon_corner3,Lon_corner4,Quality_Flag,Meteo.specific_humidity,Meteo.surface_pressure,Meteo.temperature_skin,Meteo.temperature_two_meter,Meteo.vapor_pressure_deficit,Metadata.MeasurementMode,file_id,source_file,Delta_Date,state,sif_id,sif_year,mgrs_tile,crop_pixel_count,crop_count_no_data,crop_count_winter_wheat,crop_count_winter_barley,crop_count_winter_rye,crop_count_other_winter_cereals,crop_count_spring_wheat,crop_count_spring_barley,crop_count_spring_oat,crop_count_maize,crop_count_legumes,crop_count_potato,crop_count_sugar_beet,crop_count_rapeseed,crop_count_clover_alfalfa,crop_count_arable_grass,crop_count_permanent_grassland,crop_count_vineyard,crop_count_fruit_trees_and_other_woody_vegetation,crop_count_hops,crop_count_other_agricultural_use,ww_pct,sif_extract_id,mean_b2,mean_b3,mean_b4,mean_b8,mean_b5,mean_b6,mean_b7,mean_b8a,mean_b11,mean_b12,wasp_product_id,wasp_year_month,non_crop_low_ndvi_threshold,contaminated_20m_fraction_threshold
0.6757049560546875,2023-04-17T11:54:48Z,51.5284423828125,11.923095703125,51.52557373046875,51.54345703125,51.5340576171875,51.51629638671875,11.9234619140625,11.91363525390625,11.927001953125,11.9368896484375,0,0.0045185089111328125,101443.9453125,288.4060974121094,286.44024658203125,790.37939453125,1,oco2_LtSIF_230417_B11012Ar_230531222727s,oco2_LtSIF_230417_B11012Ar_230531222727s.nc4,2023-04-17,SACHSEN-ANHALT,18937,2023,32UQC,4368,0,568,408,1019,727,0,0,0,0,0,0,239,0,474,204,324,0,395,0,10,0.13003663003663005,5486,0.024438438617401796,0.0538113230035759,0.04321476956694476,0.30376963647198907,0.099849227799228,0.24836660231660165,0.2894828957528961,0.3158739382239373,0.19604305019304963,0.1099719305019303,SENTINEL2X_20230415-000000-000_L3A_T32UQC_C_V4-0,2023-04,0.45,0.5
0.1875896453857422,2023-04-17T11:54:48Z,51.56585693359375,11.88690185546875,51.56298828125,51.58062744140625,51.57135009765625,51.5535888671875,11.88739013671875,11.87744140625,11.890869140625,11.9007568359375,0,0.0044269561767578125,100672.65625,288.6210632324219,285.8017578125,748.37603759765625,1,oco2_LtSIF_230417_B11012Ar_230531222727s,oco2_LtSIF_230417_B11012Ar_230531222727s.nc4,2023-04-17,SACHSEN-ANHALT,18943,2023,32UQC,8435,0,6393,406,349,727,0,0,0,124,0,98,76,0,108,0,0,0,56,0,98,0.757913455838767,5487,0.018634702907711857,0.040481820480404336,0.03377773704171949,0.28722056890012715,0.07606403990024947,0.22110104738154604,0.27833147132169594,0.2999615960099755,0.16177451371571044,0.09045291770573566,SENTINEL2X_20230415-000000-000_L3A_T32UQC_C_V4-0,2023-04,0.45,0.5
0.6540565490722656,2023-04-17T11:54:48Z,51.55615234375,11.900146484375,51.55328369140625,51.57110595703125,51.5615234375,51.54364013671875,11.900634765625,11.8907470703125,11.9044189453125,11.91424560546875,0,0.004450798034667969,100836.8046875,288.5481872558594,285.920166015625,754.764892578125,1,oco2_LtSIF_230417_B11012Ar_230531222727s,oco2_LtSIF_230417_B11012Ar_230531222727s.nc4,2023-04-17,SACHSEN-ANHALT,18944,2023,32UQC,8148,0,5855,0,73,1851,68,0,0,0,0,66,4,0,0,0,0,0,69,0,162,0.7185812469317624,5488,0.019926313442155053,0.041982989920613625,0.033875015609669,0.2546120506645252,0.0758930875576037,0.204239879475364,0.24776625310173675,0.2673776320453738,0.15900340304856408,0.08976983339241411,SENTINEL2X_20230415-000000-000_L3A_T32UQC_C_V4-0,2023-04,0.45,0.5
0.5774383544921875,2023-04-17T11:54:48Z,51.54638671875,11.91326904296875,51.54345703125,51.5614013671875,51.5518798828125,51.5340576171875,11.91357421875,11.90374755859375,11.9171142578125,11.927001953125,0,0.004479408264160156,101079.9765625,288.474609375,286.1142578125,767.1708984375,1,oco2_LtSIF_230417_B11012Ar_230531222727s,oco2_LtSIF_230417_B11012Ar_230531222727s.nc4,2023-04-17,SACHSEN-ANHALT,18945,2023,32UQC,9323,0,4433,99,163,920,85,0,0,220,0,109,2995,0,173,0,15,0,111,0,0,0.4754907218706425,5489,0.029607492872416333,0.052697469707769125,0.052412571275837774,0.25908565573770476,0.09127830255681836,0.20976455965909127,0.2515476207386365,0.27280184659090956,0.1944326704545456,0.13318852982954546,SENTINEL2X_20230415-000000-000_L3A_T32UQC_C_V4-0,2023-04,0.45,0.5
0.4575033187866211,2023-04-17T11:54:48Z,51.57391357421875,11.89013671875,51.57110595703125,51.588623046875,51.57916259765625,51.5615234375,11.8907470703125,11.88067626953125,11.8944091796875,11.90435791015625,0,0.004418373107910156,100580.6484375,288.6143493652344,285.6943054199219,740.03985595703125,1,oco2_LtSIF_230417_B11012Ar_230531222727s,oco2_LtSIF_230417_B11012Ar_230531222727s.nc4,2023-04-17,SACHSEN-ANHALT,18949,2023,32UQC,8499,0,7534,2,0,504,12,0,16,41,0,0,0,0,0,0,0,0,341,0,49,0.8864572302623838,5490,0.01987612468221507,0.04208659224052152,0.035384746324748605,0.27452677130540637,0.07841194613379662,0.21686533449174641,0.2660578192875753,0.286459383145091,0.16655308427454377,0.0962645960034753,SENTINEL2X_20230415-000000-000_L3A_T32UQC_C_V4-0,2023-04,0.45,0.5
0.2872142791748047,2023-04-17T11:54:48Z,51.56414794921875,11.9033203125,51.5614013671875,51.57904052734375,51.56964111328125,51.55194091796875,11.90374755859375,11.89373779296875,11.90716552734375,11.9171142578125,0,0.0044403076171875,100712.3828125,288.5420227050781,285.7817077636719,743.98681640625,1,oco2_LtSIF_230417_B11012Ar_230531222727s,oco2_LtSIF_230417_B11012Ar_230531222727s.nc4,2023-04-17,SACHSEN-ANHALT,18950,2023,32UQC,6853,0,3548,199,115,1076,15,0,14,4,8,0,1124,419,5,14,0,0,232,0,80,0.5177294615496862,5491,0.024911942201445013,0.047923151296217714,0.04298535911602184,0.27088682532936587,0.08685254934210539,0.21853022203947364,0.2624198190789471,0.28146932565789406,0.17190867598684215,0.10955904605263149,SENTINEL2X_20230415-000000-000_L3A_T32UQC_C_V4-0,2023-04,0.45,0.5
0.35807037353515625,2023-04-17T11:54:49Z,51.581787109375,11.893310546875,51.57904052734375,51.5965576171875,51.58721923828125,51.5697021484375,11.89373779296875,11.8836669921875,11.89715576171875,11.90716552734375,0,0.004414558410644531,100541.0078125,288.608154296875,285.63861083984375,735.72271728515625,1,oco2_LtSIF_230417_B11012Ar_230531222727s,oco2_LtSIF_230417_B11012Ar_230531222727s.nc4,2023-04-17,SACHSEN-ANHALT,18953,2023,32UQC,10005,0,1768,0,0,3,0,0,0,7268,0,0,587,0,0,0,0,0,379,0,0,0.17671164417791105,5492,0.05097475497475509,0.07459952479952492,0.1038196515196522,0.21307952677952713,0.12855541699142642,0.17743589243959462,0.2027938815276697,0.23059598597038125,0.27189820732657755,0.2330483632112243,SENTINEL2X_20230415-000000-000_L3A_T32UQC_C_V4-0,2023-04,0.45,0.5
0.0029926300048828125,2024-02-24T11:49:47Z,51.9598388671875,12.03656005859375,51.9591064453125,51.976318359375,51.9638671875,51.94677734375,12.03375244140625,12.02313232421875,12.0426025390625,12.05322265625,0,0.004214286804199219,99394.609375,283.9360656738281,282.8497314453125,530.95782470703125,1,oco2_LtSIF_240224_B11012Ar_240320171134s,oco2_LtSIF_240224_B11012Ar_240320171134s.nc4,2024-02-24,SACHSEN-ANHALT,21600,2024,32UQC,14629,0,4083,523,3043,289,0,0,510,870,536,424,1128,1135,981,11,644,0,357,0,95,0.279103151274865,6186,0.03204851556369379,0.05553528642427451,0.06268059115877612,0.23844419304211414,0.1080898001557228,0.2044452893848955,0.22954957176226304,0.25422989878017144,0.2181357902932785,0.14532237217752425,SENTINEL2X_20240215-000000-000_L3A_T32UQC_C_V4-0,2024-02,0.45,0.5
0.40032100677490234,2024-02-24T11:49:47Z,51.9234619140625,12.0943603515625,51.923095703125,51.94036865234375,51.92803955078125,51.91094970703125,12.09246826171875,12.0819091796875,12.10101318359375,12.111572265625,0,0.0042133331298828125,99304.2109375,283.9158935546875,282.80584716796875,528.2882080078125,1,oco2_LtSIF_240224_B11012Ar_240320171134s,oco2_LtSIF_240224_B11012Ar_240320171134s.nc4,2024-02-24,SACHSEN-ANHALT,21601,2024,32UQC,12903,0,588,740,1517,146,0,76,6,4656,81,0,0,0,1979,278,2629,0,162,0,45,0.04557079748895606,6187,0.03453152526018346,0.06028542284099516,0.06866816458749748,0.25072093872768536,0.11992135135135142,0.21411459459459473,0.23917640540540536,0.2679452162162157,0.24069791891891917,0.15278721621621644,SENTINEL2X_20240215-000000-000_L3A_T32UQC_C_V4-0,2024-02,0.45,0.5
0.32845401763916016,2024-02-24T11:49:48Z,51.92822265625,12.10272216796875,51.92791748046875,51.94525146484375,51.9329833984375,51.91583251953125,12.1009521484375,12.09033203125,12.10931396484375,12.1199951171875,0,0.00421142578125,99287.46875,283.916015625,282.78948974609375,527.26287841796875,1,oco2_LtSIF_240224_B11012Ar_240320171134s,oco2_LtSIF_240224_B11012Ar_240320171134s.nc4,2024-02-24,SACHSEN-ANHALT,21602,2024,32UQC,12918,0,0,682,2584,7,49,0,0,580,1307,0,0,0,3401,8,3885,0,256,0,159,0,6188,0.03475951057483739,0.05965970037960935,0.0669476003253801,0.25124752575921944,0.11803029814665557,0.2142488584474885,0.23950864893902807,0.2691007789417143,0.24536790222938457,0.1523735428417949,SENTINEL2X_20240215-000000-000_L3A_T32UQC_C_V4-0,2024-02,0.45,0.5
