hzs_values,n,residual_mean,residual_sd,residual_median,residual_q25,residual_q75
7a,151,-0.013982365942004055,0.06916372765454917,-0.002398399969882725,-0.053253235422624653,0.023737131496260604
7b,894,-0.015257037943452522,0.06732470865350434,-0.010281470738915721,-0.054376354285491146,0.026807360103522467
8a,4458,-0.008300771303265614,0.07672203149832087,-0.004483593568855762,-0.05246059395922619,0.03787683864382438
8b,1502,-0.01339581019795834,0.07919441662313459,-0.013007024849590022,-0.05651499295895587,0.03512048188788812
9a,58,-0.02722752813921175,0.09138269969487542,-0.011286317688943226,-0.07160115171473869,0.031590036056687636
