split,n_polygons,rmse,mae,bias,r2,pearson_r
train,24685,0.25022895614580565,0.19076807022822223,-0.010526279725638233,0.42426080276114986,0.6524801065502913
validation,5296,0.2581268184912814,0.19509810645726236,-0.0017022047963153762,0.40794127934047486,0.6394498944260851
test,5291,0.25029036444665176,0.19116351234606882,-0.00534013808349671,0.4154128809963653,0.6456649081552547
