Daily_SIF_740nm,Delta_Time,Latitude,Longitude,Lat_corner1,Lat_corner2,Lat_corner3,Lat_corner4,Lon_corner1,Lon_corner2,Lon_corner3,Lon_corner4,Quality_Flag,Meteo.specific_humidity,Meteo.surface_pressure,Meteo.temperature_skin,Meteo.temperature_two_meter,Meteo.vapor_pressure_deficit,Metadata.MeasurementMode,file_id,source_file,Delta_Date,state,sif_id,sif_year,mgrs_tile,crop_pixel_count,crop_count_no_data,crop_count_winter_wheat,crop_count_winter_barley,crop_count_winter_rye,crop_count_other_winter_cereals,crop_count_spring_wheat,crop_count_spring_barley,crop_count_spring_oat,crop_count_maize,crop_count_legumes,crop_count_potato,crop_count_sugar_beet,crop_count_rapeseed,crop_count_clover_alfalfa,crop_count_arable_grass,crop_count_permanent_grassland,crop_count_vineyard,crop_count_fruit_trees_and_other_woody_vegetation,crop_count_hops,crop_count_other_agricultural_use,ww_pct,sif_extract_id,mean_ndvi,mean_ndre,mean_ndre8a,mean_psri,mean_osavi,mean_ndwi,mean_nirv,mean_tcari,wasp_product_id,wasp_year_month
0.6574230194091797,2019-04-13T12:01:02Z,51.75811767578125,10.1484375,51.75506591796875,51.772705078125,51.76324462890625,51.74517822265625,10.14862060546875,10.138671875,10.15289306640625,10.1627197265625,0,0.0030059814453125,99163.6640625,279.589111328125,277.6686706542969,364.94195556640625,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10176,2019,32UNC,3728,0,793,0,0,133,139,0,533,0,0,0,0,0,410,0,1438,0,262,0,20,0.21271459227467812,1416,0.6503957406444616,0.4417533954273921,0.13220761890078073,0.09799792887182518,0.46629249411041784,-0.6315571025961357,0.15785446235737174,0.07484003229837977,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04
0.3880748748779297,2019-04-13T12:01:02Z,51.8323974609375,10.053955078125,51.8289794921875,51.846435546875,51.8370361328125,51.8199462890625,10.05340576171875,10.0433349609375,10.05694580078125,10.06719970703125,1,0.0030078887939453125,98908.625,279.735595703125,277.26763916015625,342.561279296875,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10177,2019,32UNC,9373,0,4202,801,0,368,292,0,0,543,77,0,31,1939,433,0,625,0,62,0,0,0.44830897258081726,1417,0.717528271342897,0.5243617353370745,0.12029243886218528,0.07076282742000312,0.6041987219975814,-0.6688425079846099,0.27811972913704736,0.1073080942752281,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04
0.4048423767089844,2019-04-13T12:01:02Z,51.8228759765625,10.06817626953125,51.8201904296875,51.8375244140625,51.82806396484375,51.81048583984375,10.067626953125,10.0574951171875,10.0718994140625,10.0819091796875,0,0.0030040740966796875,98875.9140625,279.7183837890625,277.2571716308594,342.71014404296875,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10178,2019,32UNC,7551,0,2872,263,0,532,0,0,0,561,186,13,15,727,174,3,2148,0,22,0,35,0.3803469739107403,1418,0.6831356541156522,0.4783797539769434,0.12118486149936233,0.07981192526070388,0.5528879740104272,-0.6422509443772474,0.2318162942798651,0.10163179444722618,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04
0.4821176528930664,2019-04-13T12:01:02Z,51.8138427734375,10.08258056640625,51.810791015625,51.82843017578125,51.81890869140625,51.800537109375,10.08221435546875,10.072265625,10.08673095703125,10.09637451171875,0,0.00301361083984375,99126.3671875,279.70159912109375,277.5212097167969,355.28045654296875,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10179,2019,32UNC,6311,0,857,415,1,73,0,0,0,2,360,0,1,3669,198,0,732,0,3,0,0,0.13579464427190618,1419,0.7084746048311245,0.5068995097057328,0.12443806392914697,0.06596556989582116,0.5720294326329576,-0.6616087616524984,0.25340916065510555,0.10248549024224785,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04
0.3617382049560547,2019-04-13T12:01:02Z,51.8038330078125,10.0965576171875,51.80084228515625,51.8192138671875,51.8089599609375,51.79119873046875,10.09649658203125,10.0867919921875,10.10089111328125,10.11077880859375,0,0.0030527114868164063,100012.28125,279.6824035644531,278.401123046875,397.51031494140625,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10180,2019,32UNC,10253,0,3184,2537,0,945,0,0,0,54,0,0,0,2656,66,0,521,0,276,0,14,0.3105432556324978,1420,0.7805196720216757,0.5933540238471748,0.1466180272528866,0.038092202701218325,0.6632944313458246,-0.7224622923511881,0.32060513167648386,0.1055606600479865,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04
0.5771331787109375,2019-04-13T12:01:02Z,51.84979248046875,10.0438232421875,51.84649658203125,51.86346435546875,51.85430908203125,51.8370361328125,10.04327392578125,10.032958984375,10.0467529296875,10.05694580078125,0,0.0030384063720703125,99496.546875,279.7672424316406,277.8121032714844,366.725830078125,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10181,2019,32UNC,4560,0,963,686,0,924,0,0,169,81,0,0,310,1381,45,0,0,0,1,0,0,0.21118421052631578,1421,0.668098435967743,0.44627173930652847,0.12639931559249012,0.0955676605517264,0.5285630061306353,-0.6425795944797841,0.20678051706054695,0.10060937919594241,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04
0.2788829803466797,2019-04-13T12:01:02Z,51.840576171875,10.05816650390625,51.8375244140625,51.854736328125,51.845458984375,51.828125,10.0574951171875,10.0472412109375,10.061767578125,10.0718994140625,0,0.0030202865600585938,99160.6796875,279.7513122558594,277.5035095214844,353.0104064941406,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10182,2019,32UNC,3906,0,508,0,0,387,0,0,0,217,757,176,1212,52,155,0,198,0,106,0,138,0.1300563236047107,1422,0.5560183977643668,0.3506949113390945,0.12261408220632071,0.15672680101460673,0.4218027781591952,-0.5628744439778397,0.14293729363636512,0.07984665808910049,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04
0.52910614013671875,2019-04-13T12:01:02Z,51.83172607421875,10.0726318359375,51.82867431640625,51.84576416015625,51.8363037109375,51.81890869140625,10.07232666015625,10.06207275390625,10.07659912109375,10.08673095703125,0,0.003002166748046875,98817.265625,279.7354736328125,277.1887512207031,339.3460388183594,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10183,2019,32UNC,3437,0,1574,640,0,95,27,0,9,229,297,0,0,11,168,0,224,0,158,0,5,0.4579575210939773,1423,0.6777333330132742,0.44727622657924926,0.1350281189248261,0.08640299046889781,0.5011473208896539,-0.6399918464458636,0.1741139828206102,0.08939136289353526,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04
0.40141773223876953,2019-04-13T12:01:02Z,51.82183837890625,10.086669921875,51.8192138671875,51.83660888671875,51.826904296875,51.8089599609375,10.0867919921875,10.07672119140625,10.09100341796875,10.100830078125,0,0.003017425537109375,99187.1015625,279.7171325683594,277.57061767578125,357.29962158203125,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10184,2019,32UNC,8127,0,3836,684,0,678,1,161,1,585,83,0,0,1365,0,0,688,0,1,0,44,0.4720068906115418,1424,0.7175723831432554,0.5158551147220972,0.1303361766347715,0.06822851956877703,0.5865977324746245,-0.6689748666271527,0.25649560030536267,0.10234894472190055,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04
0.43897247314453125,2019-04-13T12:01:02Z,51.8121337890625,10.10052490234375,51.8092041015625,51.8271484375,51.81744384765625,51.7996826171875,10.1007080078125,10.0908203125,10.10479736328125,10.11468505859375,0,0.0030460357666015625,99841.890625,279.69866943359375,278.2268981933594,388.80816650390625,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10185,2019,32UNC,7711,0,543,470,4,1496,0,0,0,981,566,0,108,1416,497,0,1355,0,210,0,65,0.07041888211645701,1425,0.6008760175898669,0.42734599693173886,0.10978910126820808,0.11797676616917431,0.5019067927071755,-0.5905239137012472,0.21988603707652238,0.09252335241081767,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04
