Daily_SIF_740nm,Delta_Time,Latitude,Longitude,Lat_corner1,Lat_corner2,Lat_corner3,Lat_corner4,Lon_corner1,Lon_corner2,Lon_corner3,Lon_corner4,Quality_Flag,Meteo.specific_humidity,Meteo.surface_pressure,Meteo.temperature_skin,Meteo.temperature_two_meter,Meteo.vapor_pressure_deficit,Metadata.MeasurementMode,file_id,source_file,Delta_Date,state,sif_id,sif_year,mgrs_tile,crop_pixel_count,crop_count_no_data,crop_count_winter_wheat,crop_count_winter_barley,crop_count_winter_rye,crop_count_other_winter_cereals,crop_count_spring_wheat,crop_count_spring_barley,crop_count_spring_oat,crop_count_maize,crop_count_legumes,crop_count_potato,crop_count_sugar_beet,crop_count_rapeseed,crop_count_clover_alfalfa,crop_count_arable_grass,crop_count_permanent_grassland,crop_count_vineyard,crop_count_fruit_trees_and_other_woody_vegetation,crop_count_hops,crop_count_other_agricultural_use,ww_pct,sif_extract_id,mean_ndvi,mean_ndre,mean_ndre8a,mean_psri,mean_osavi,mean_ndwi,mean_nirv,mean_tcari,wasp_product_id,wasp_year_month,non_crop_low_ndvi_threshold,contaminated_20m_fraction_threshold
0.6574230194091797,2019-04-13T12:01:02Z,51.75811767578125,10.1484375,51.75506591796875,51.772705078125,51.76324462890625,51.74517822265625,10.14862060546875,10.138671875,10.15289306640625,10.1627197265625,0,0.0030059814453125,99163.6640625,279.589111328125,277.6686706542969,364.94195556640625,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10176,2019,32UNC,3728,0,793,0,0,133,139,0,533,0,0,0,0,0,410,0,1438,0,262,0,20,0.21271459227467812,1416,0.6798308761625907,0.460417665132775,0.1336221922555996,0.08412980148730377,0.48636615655718435,-0.649349494447215,0.16588726108227098,0.07751990910647516,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.3880748748779297,2019-04-13T12:01:02Z,51.8323974609375,10.053955078125,51.8289794921875,51.846435546875,51.8370361328125,51.8199462890625,10.05340576171875,10.0433349609375,10.05694580078125,10.06719970703125,1,0.0030078887939453125,98908.625,279.735595703125,277.26763916015625,342.561279296875,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10177,2019,32UNC,9373,0,4202,801,0,368,292,0,0,543,77,0,31,1939,433,0,625,0,62,0,0,0.44830897258081726,1417,0.7251773458704438,0.5267979223113489,0.12065125859946876,0.06955060726888246,0.6108582574659682,-0.6739012738966506,0.28184923083128727,0.1077877316138954,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.4048423767089844,2019-04-13T12:01:02Z,51.8228759765625,10.06817626953125,51.8201904296875,51.8375244140625,51.82806396484375,51.81048583984375,10.067626953125,10.0574951171875,10.0718994140625,10.0819091796875,0,0.0030040740966796875,98875.9140625,279.7183837890625,277.2571716308594,342.71014404296875,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10178,2019,32UNC,7551,0,2872,263,0,532,0,0,0,561,186,13,15,727,174,3,2148,0,22,0,35,0.3803469739107403,1418,0.6990343148403375,0.4872072314436668,0.1226767816177489,0.07410396554487239,0.5661977150485761,-0.6518831726325995,0.23865230784314262,0.10371407772100584,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.4821176528930664,2019-04-13T12:01:02Z,51.8138427734375,10.08258056640625,51.810791015625,51.82843017578125,51.81890869140625,51.800537109375,10.08221435546875,10.072265625,10.08673095703125,10.09637451171875,0,0.00301361083984375,99126.3671875,279.70159912109375,277.5212097167969,355.28045654296875,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10179,2019,32UNC,6311,0,857,415,1,73,0,0,0,2,360,0,1,3669,198,0,732,0,3,0,0,0.13579464427190618,1419,0.7261716534698729,0.5172017399137383,0.12580198631283812,0.06026521575342682,0.5866965164266348,-0.6733876174188493,0.2614118767973532,0.10460417231198822,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.3617382049560547,2019-04-13T12:01:02Z,51.8038330078125,10.0965576171875,51.80084228515625,51.8192138671875,51.8089599609375,51.79119873046875,10.09649658203125,10.0867919921875,10.10089111328125,10.11077880859375,0,0.0030527114868164063,100012.28125,279.6824035644531,278.401123046875,397.51031494140625,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10180,2019,32UNC,10253,0,3184,2537,0,945,0,0,0,54,0,0,0,2656,66,0,521,0,276,0,14,0.3105432556324978,1420,0.7951191854492973,0.6034947134323017,0.14869729289520783,0.03401447247708308,0.6761115046972316,-0.733862693419241,0.3277501289952544,0.10723517468778652,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.5771331787109375,2019-04-13T12:01:02Z,51.84979248046875,10.0438232421875,51.84649658203125,51.86346435546875,51.85430908203125,51.8370361328125,10.04327392578125,10.032958984375,10.0467529296875,10.05694580078125,0,0.0030384063720703125,99496.546875,279.7672424316406,277.8121032714844,366.725830078125,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10181,2019,32UNC,4560,0,963,686,0,924,0,0,169,81,0,0,310,1381,45,0,0,0,1,0,0,0.21118421052631578,1421,0.6751320308262982,0.4491254608053736,0.12694269694967716,0.09384341357605244,0.5341799571562935,-0.6473168563778278,0.20947298930362745,0.1013104421076409,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.2788829803466797,2019-04-13T12:01:02Z,51.840576171875,10.05816650390625,51.8375244140625,51.854736328125,51.845458984375,51.828125,10.0574951171875,10.0472412109375,10.061767578125,10.0718994140625,0,0.0030202865600585938,99160.6796875,279.7513122558594,277.5035095214844,353.0104064941406,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10182,2019,32UNC,3906,0,508,0,0,387,0,0,0,217,757,176,1212,52,155,0,198,0,106,0,138,0.1300563236047107,1422,0.562357151368077,0.35298700704135805,0.12321889614132815,0.1552186166286275,0.426422568944443,-0.5668390881655653,0.144795091825158,0.08036349003675723,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.52910614013671875,2019-04-13T12:01:02Z,51.83172607421875,10.0726318359375,51.82867431640625,51.84576416015625,51.8363037109375,51.81890869140625,10.07232666015625,10.06207275390625,10.07659912109375,10.08673095703125,0,0.003002166748046875,98817.265625,279.7354736328125,277.1887512207031,339.3460388183594,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10183,2019,32UNC,3437,0,1574,640,0,95,27,0,9,229,297,0,0,11,168,0,224,0,158,0,5,0.4579575210939773,1423,0.6803746778077235,0.44869088625644227,0.13529820774415832,0.08526062415737212,0.5029729467807463,-0.6417317874166641,0.17482182459525109,0.08964756252370094,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.40141773223876953,2019-04-13T12:01:02Z,51.82183837890625,10.086669921875,51.8192138671875,51.83660888671875,51.826904296875,51.8089599609375,10.0867919921875,10.07672119140625,10.09100341796875,10.100830078125,0,0.003017425537109375,99187.1015625,279.7171325683594,277.57061767578125,357.29962158203125,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10184,2019,32UNC,8127,0,3836,684,0,678,1,161,1,585,83,0,0,1365,0,0,688,0,1,0,44,0.4720068906115418,1424,0.7223237637913875,0.5183217714340592,0.13076963572772415,0.06706092336689007,0.5906392260454099,-0.672354872358194,0.25867230169474337,0.10280723559785798,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.43897247314453125,2019-04-13T12:01:02Z,51.8121337890625,10.10052490234375,51.8092041015625,51.8271484375,51.81744384765625,51.7996826171875,10.1007080078125,10.0908203125,10.10479736328125,10.11468505859375,0,0.0030460357666015625,99841.890625,279.69866943359375,278.2268981933594,388.80816650390625,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10185,2019,32UNC,7711,0,543,470,4,1496,0,0,0,981,566,0,108,1416,497,0,1355,0,210,0,65,0.07041888211645701,1425,0.6477536478617927,0.45545554236388885,0.1140036553146633,0.10546935620652322,0.5438286021352088,-0.6226373592186714,0.24352788956735733,0.09871380663039334,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
