target_support,n,target_mean,target_sd,target_iqr,target_min,target_max,residual_mean,residual_sd,residual_iqr,residual_min,residual_max
Native footprints,6411,0.31960964391382524,0.21012432133424935,0.2906688451766968,-0.2513453960418701,1.2161333560943604,-0.016594581426985836,0.1594899836009992,0.1892434763632903,-0.6861737118315103,0.6807777411077476
4 km aggregates,931,0.32517794446837633,0.14366431744436756,0.20316568017005926,0.0131320059299469,0.7199997305870056,-0.01494527342163499,0.06857214962511501,0.0765187771105669,-0.244536155412312,0.328336766469398
