footprint_bin,n_cells,n_dates,min_footprints,max_footprints,mean_footprints,mean_within_cell_target_sd,mean_target_standard_error,median_target_standard_error,observed_mean,observed_sd,rmse,normalized_rmse,mae,bias,r2,residual_sd
5-6,223.0,20.0,5.0,6.0,5.479820627802691,0.14067110608335964,0.06032844469417383,0.0527683155211555,0.2994331996804396,0.1437962065758759,0.08038508428995292,0.5590208963373223,0.05845162285325474,-0.005581352573665808,0.68608796014947,0.08037149365741016
7-8,216.0,20.0,7.0,8.0,7.5,0.13480907913024098,0.049351915203397385,0.0454466812026547,0.3167415469608925,0.15119840219458486,0.07049765597744358,0.46625926566814235,0.05232663259067284,-0.01480322473710445,0.7815911450724586,0.06908603842767538
9-10,195.0,20.0,9.0,10.0,9.502564102564103,0.12629969962229984,0.04100194050157697,0.0371469989052038,0.3005103355798966,0.15300010539144485,0.0668803790081607,0.4371263590770074,0.050139776015513005,-0.017282313393480745,0.8079356005619353,0.06477517877317296
11-12,157.0,17.0,11.0,12.0,11.503184713375797,0.13721665127952554,0.04047818010524734,0.0390463179899824,0.3443973165978292,0.12690555870189513,0.061656212178616825,0.4858432743946943,0.04899028476234191,-0.0192232240502739,0.7624432121659894,0.058770365630007926
13+,140.0,14.0,13.0,18.0,13.621428571428572,0.14824031054933887,0.04020730890245091,0.0383579457467133,0.39200710345591816,0.10962259610402861,0.0653232579378216,0.595892272755808,0.05216396018767749,-0.022027243576988546,0.6423578122143055,0.06171820385595739
