model,supervision,target_support,predictor_resolution_m,n_train,n_validation,n_test,n_test_dates,observed_mean,observed_sd,observed_iqr,observed_min,observed_max,rmse,normalized_rmse,mae,bias,r2,regression_slope,regression_intercept,residual_sd
Sentinel-2 spatial U-Net,spatially aggregated SIF,4 km fixed-grid cell,20,6060,929,931,21,0.325177944468376,0.143664317444368,0.203165680170059,0.0131320059299469,0.719999730587006,0.0701459212531073,0.488262656315272,0.0527486036443058,-0.014945273421635,0.761343233908652,0.725785768849795,0.0742231466077648,0.0685721496251151
Sentinel-2 multi-footprint U-Net,individual SIF footprints within multi-footprint chips,native OCO-2 footprint,20,4983,553,686,18,0.319609643913825,0.210124321334249,0.290668845176697,-0.25134539604187,1.21613335609436,0.160338601969332,0.763065412662429,0.122287182442281,-0.0165945814269858,0.417640338428269,0.439349951996151,0.162594580775793,0.159489983600999
