target_support,observed_target,residual
Native footprints,0.2532763481140136,-0.0390619216442562
Native footprints,0.0932786613702774,0.1165974863755923
Native footprints,0.3868465423583984,-0.1898568891439403
Native footprints,0.2284395694732666,-0.0196090349353479
Native footprints,-0.0403625965118408,0.2571707572250811
Native footprints,0.5303223133087158,-0.3632916295435291
Native footprints,0.2357015609741211,-0.036132636490219
Native footprints,0.2901527881622314,-0.1134100869638142
Native footprints,0.1575543880462646,0.0422549622923911
Native footprints,0.353259801864624,-0.1188990660465275
Native footprints,0.5221421718597412,-0.2465912080601066
Native footprints,0.0953831523656845,0.1493399285899848
Native footprints,0.2954874038696289,-0.0437359923676242
Native footprints,0.4643182754516601,-0.2287894435935085
Native footprints,-0.0083301067352294,0.2492380299834657
Native footprints,0.1902692317962646,0.0489667839228371
Native footprints,0.5231819152832031,-0.2651070706758228
Native footprints,-0.027625560760498,0.2653300196136989
Native footprints,0.3471724987030029,-0.1255272937136554
Native footprints,0.3825199604034424,0.0204292221638805
Native footprints,-0.1219687461853027,0.4219706635904968
Native footprints,0.0974383205175399,0.2780884804587678
Native footprints,0.524989128112793,-0.0716062820849268
Native footprints,0.3574340343475342,0.1104854962740287
Native footprints,0.4037694931030273,-0.0082300157505973
Native footprints,0.5081799030303955,-0.1004336142404087
Native footprints,0.5823438167572021,-0.1385335884053671
Native footprints,0.5107743740081787,-0.0655415288801543
Native footprints,0.0885660648345947,0.2821672494968574
Native footprints,0.5239500999450684,-0.0581616110952982
Native footprints,0.5905630588531494,-0.0747711455118048
Native footprints,0.2884259223937988,0.2108924948081726
Native footprints,0.9608235359191896,-0.4582368853514869
Native footprints,0.404360294342041,0.1049214095441454
Native footprints,0.6198277473449707,-0.0799367463051705
Native footprints,0.6300637722015381,-0.1235087760317048
Native footprints,0.3303611278533935,0.1637845138935627
Native footprints,0.273904800415039,0.2187412318413323
Native footprints,0.8100354671478271,-0.2565064490655834
Native footprints,0.4470539093017578,0.0696739409725095
Native footprints,0.2943522930145263,0.2023337708892117
Native footprints,0.6154489517211914,-0.1297368342442592
Native footprints,0.5289008617401123,0.0012532909492051
Native footprints,-0.0793864727020263,0.580729951664541
Native footprints,0.6299123764038086,-0.1426412024719495
Native footprints,0.2919731140136719,0.2089520889912741
Native footprints,0.1467235088348388,0.3523065077692256
Native footprints,0.4540698528289795,0.0371473970991731
Native footprints,0.6532917022705078,-0.2044260586729314
Native footprints,0.6135575771331787,-0.2331682721385532
Native footprints,0.2757117748260498,0.1344624224647814
Native footprints,0.4003310203552246,0.053484733313384
Native footprints,0.6907413005828857,-0.255510238496274
